Instability, Abstractness
0.603604, 0.603604 
0.658915, 0.658915 
0.658915, 0.658915 
0.658915, 0.658915 
0.658915, 0.658915 
0.665529, 0.665529 
0.666667, 0.666667 
0.659236, 0.659236 
0.659236, 0.659236 
0.659236, 0.659236 
0.659236, 0.659236 
0.659236, 0.659236 
0.676647, 0.676647 
0.676647, 0.676647 
0.676647, 0.676647 
0.676647, 0.676647 
0.676647, 0.676647 
0.676647, 0.676647 
0.676647, 0.676647 
0.676647, 0.676647 
0.676647, 0.676647 
0.676647, 0.676647 
0.676647, 0.676647 
0.677612, 0.677612 
0.685393, 0.685393 
0.714976, 0.714976 
0.704194, 0.704194 
0.707983, 0.707983 
0.718447, 0.718447 
0.720000, 0.720000 
0.719925, 0.719925 
0.719925, 0.719925 
0.719925, 0.719925 
0.719925, 0.719925 
0.719925, 0.719925 
0.719925, 0.719925 
0.730072, 0.730072 
0.736283, 0.736283 
0.745299, 0.745299 
0.751667, 0.751667 
0.751634, 0.751634 
0.753247, 0.753247 
0.753247, 0.753247 
0.753247, 0.753247 
0.753247, 0.753247 
0.753247, 0.753247 
0.753247, 0.753247 
0.753247, 0.753247 
0.753247, 0.753247 
0.753247, 0.753247 
0.753247, 0.753247 
0.753247, 0.753247 
0.753247, 0.753247 
0.753247, 0.753247 
0.753247, 0.753247 
0.753247, 0.753247 
0.755134, 0.755134 
0.756589, 0.756589 
0.759036, 0.759036 
0.759644, 0.759644 
0.761151, 0.761151 
0.760745, 0.760745 
0.760745, 0.760745 
0.762640, 0.762640 
0.775883, 0.775883 
0.775883, 0.775883 
0.775883, 0.775883 
0.775883, 0.775883 
0.775883, 0.775883 
0.781141, 0.781141 
0.781141, 0.781141 
0.781141, 0.781141 
0.781141, 0.781141 
0.781141, 0.781141 
0.781141, 0.781141 
0.780854, 0.780854 
0.782559, 0.782559 
0.782559, 0.782559 
0.782559, 0.782559 
0.784116, 0.784116 
0.790374, 0.790374 
0.790374, 0.790374 
0.790374, 0.790374 
0.790374, 0.790374 
0.790374, 0.790374 
0.794764, 0.794764 
0.794764, 0.794764 
0.794764, 0.794764 
0.794764, 0.794764 
0.794764, 0.794764 
0.794764, 0.794764 
0.794764, 0.794764 
0.794764, 0.794764 
0.794764, 0.794764 
0.794764, 0.794764 
0.794764, 0.794764 
0.794764, 0.794764 
0.794764, 0.794764 
0.794764, 0.794764 
0.794764, 0.794764 
0.794764, 0.794764 
0.794764, 0.794764 
0.794764, 0.794764 
0.794764, 0.794764 
0.794764, 0.794764 
0.794764, 0.794764 
0.852768, 0.852768 
0.839737, 0.839737 
0.841509, 0.841509 
0.825319, 0.825319 
0.842734, 0.842734 
0.844328, 0.844328 
0.846990, 0.846990 
0.855008, 0.855008 
0.855008, 0.855008 
0.846465, 0.846465 
0.844513, 0.844513 
0.845391, 0.845391 
0.845825, 0.845825 
0.847253, 0.847253 
0.846322, 0.846322 
0.849823, 0.849823 
0.859076, 0.859076 
0.858194, 0.858194 
0.858194, 0.858194 
0.858194, 0.858194 
0.858194, 0.858194 
0.858510, 0.858510 
0.858510, 0.858510 
0.857660, 0.857660 
0.857660, 0.857660 
0.857884, 0.857884 
0.858442, 0.858442 
0.858495, 0.858495 
0.859109, 0.859109 
0.859253, 0.859253 
0.859097, 0.859097 
0.859097, 0.859097 
0.859097, 0.859097 
0.859097, 0.859097 
0.859097, 0.859097 
0.859097, 0.859097 
0.859097, 0.859097 
0.859097, 0.859097 
0.859097, 0.859097 
0.859097, 0.859097 
0.859097, 0.859097 
0.868117, 0.868117 
0.869325, 0.869325 
0.871733, 0.871733 
0.871676, 0.871676 
0.872482, 0.872482 
0.871321, 0.871321 
0.871494, 0.871494 
0.871108, 0.871108 
0.869237, 0.869237 
0.868400, 0.868400 
0.868603, 0.868603 
0.869912, 0.869912 
0.870173, 0.870173 
0.871371, 0.871371 
0.869258, 0.869258 
0.869431, 0.869431 
0.869431, 0.869431 
0.869431, 0.869431 
0.869431, 0.869431 
0.869431, 0.869431 
0.869431, 0.869431 
0.869680, 0.869680 
0.869813, 0.869813 
0.869933, 0.869933 
0.869933, 0.869933 
0.869933, 0.869933 
0.869933, 0.869933 
0.869933, 0.869933 
0.869933, 0.869933 
0.869933, 0.869933 
0.869933, 0.869933 
0.869933, 0.869933 
0.869933, 0.869933 
0.869933, 0.869933 
0.869933, 0.869933 
0.869933, 0.869933 
0.869933, 0.869933 
0.869590, 0.869590 
0.869590, 0.869590 
0.869590, 0.869590 
0.869590, 0.869590 
0.869590, 0.869590 
0.869590, 0.869590 
0.869590, 0.869590 
0.869590, 0.869590 
0.869590, 0.869590 
0.869590, 0.869590 
0.869590, 0.869590 
0.869590, 0.869590 
0.869590, 0.869590 
0.869723, 0.869723 
0.869723, 0.869723 
0.869723, 0.869723 
0.869723, 0.869723 
0.869723, 0.869723 
0.869723, 0.869723 
0.869723, 0.869723 
0.869723, 0.869723 
0.869723, 0.869723 
0.869723, 0.869723 
0.869723, 0.869723 
0.869723, 0.869723 
0.869723, 0.869723 
0.869723, 0.869723 
0.869723, 0.869723 
0.869723, 0.869723 
0.869723, 0.869723 
